start station id,tripduration
count,mean
1,1571.0
39,1983.2307692307693
39,325.56410256410254
30,258.2
57,433.63157894736844
49,313.0204081632653
46,911.1739130434783
5,1148.0
5,1136.4
6,1803.1666666666667
1,1284.0
6,1146.0
53,1684.9622641509434
3,1493.3333333333333
38,611.2631578947369
24,659.9166666666666
15,1508.0
4,1481.75
3,1998.0
4,530.25
1,1114.0
33,2404.3333333333335
1,885.0
20,513.0
90,296.65555555555557
3,1323.6666666666667
10,1046.7
149,332.3154362416107
7,742.1428571428571
9,699.1111111111111
9,628.7777777777778
13,585.9230769230769
14,374.92857142857144
10,231.7
98,551.8163265306123
1,1229.0
15,714.8
9,469.1111111111111
9,1557.4444444444443
1,1325.0
24,255.875
4,567.25
56,1240.8035714285713
38,274.6842105263158
5,1544.4
1,1336.0
4,1315.5
52,233.15384615384616
1,19965.0
1,810.0
1,1586.0
1,1461.0
28,367.85714285714283
54,2135.6296296296296
208,5188.298076923077
94,3675.191489361702
368,3844.695652173913
59,1394.2881355932204
341,3065.4956011730205
60,2031.0333333333333
262,3203.874045801527
41,1789.0243902439024
129,5360.2558139534885
34,2686.5882352941176
22,453.09090909090907
26,1860.423076923077
37,480.2972972972973
43,1055.860465116279
44,657.3636363636364
47,664.7872340425532
46,371.4347826086956
25,520.24
27,420.44444444444446
32,436.125
18,682.1111111111111
46,462.7173913043478
16,1828.6875
82,1813.0853658536585
38,1783.7105263157894
44,544.0909090909091
34,1127.5294117647059
44,479.75
44,964.5227272727273
51,502.94117647058823
34,1090.2058823529412
11,690.0909090909091
24,511.5833333333333
13,1867.6923076923076
33,693.7575757575758
14,1453.5714285714287
24,712.9583333333334
28,803.4642857142857
15,368.6666666666667
22,923.3636363636364
25,573.48
18,539.5
8,477.625
3,1559.3333333333333
1,1823.0
1,1720.0
1,1267.0
1,1211.0
2,1154.0
56,771.0892857142857
29,1626.0689655172414
77,937.3116883116883
30,1408.1
86,3759.0697674418607
20,1257.05
52,758.2307692307693
45,1249.6222222222223
67,767.0298507462686
33,1391.0
9,2539.4444444444443
6,58046.5
2,1652.0
11,1319.4545454545455
2,1065.5
4,1374.5
4,948.5
6,1555.0
3,1337.6666666666667
10,1795.4
2,1129.0
4,1174.75
1,1239.0
2,2097.5
2,906.5
4,13026.0
3,1781.3333333333333
2,1478.5
4,1462.0
3,1498.6666666666667
8,2724.125
7,2281.285714285714
2,1342.0
12,2395.25
1,1127.0
1,1672.0
1,820.0
4,2132.75
5,2225.8
2,1541.0
2,1352.5
3,1526.3333333333333
1,1466.0
2,1427.0
2,3569.0
2,1765.5
6,2814.5
1,1959.0
9,2137.777777777778
2,1755.0
4,2494.0
6,2460.6666666666665
3,1814.6666666666667
2,2429.5
2,2660.0
2,1593.0
28,839.6071428571429
44,1425.1136363636363
54,1158.037037037037
83,1389.7951807228915
47,1416.340425531915
53,1184.9056603773586
60,1118.9333333333334
77,1459.6103896103896
40,1040.35
70,1109.3714285714286
20,1127.45
1,1802.0
1,1579.0
5,2105.6
1,1366.0
4,1686.75
3,1655.6666666666667
2,1647.0
1,3226.0
3,1878.6666666666667
50,495.12
33,1340.5151515151515
49,779.1836734693877
35,1339.8
48,732.0833333333334
43,1105.5581395348838
43,637.4883720930233
58,1380.4827586206898
51,890.7647058823529
39,1128.3333333333333
14,1046.0714285714287
47,846.2765957446809
17,1461.1764705882354
50,807.58
30,1402.3
48,823.4375
33,2789.3939393939395
48,719.5208333333334
37,1363.4594594594594
53,697.7547169811321
34,913.0588235294117
9,822.6666666666666
19,793.5263157894736
18,1196.3333333333333
31,804.6774193548387
